,baseline,buckets,uncompressed,unicode,,,
serbo-croatian,66.2,78.3,66.1,67.7,,average % guessed,
albanian,95.2,97.9,94.8,97,,average baseline:,71.67763158
azeri,88,79,95,84,,average buckets:,81.75
macedonian,60.9,76.5,56.6,52.8,,average uncompressed:,73.18421053
bulgarian,72.6,82.9,57.2,56.5,,average unicode:,74.13157895
yiddish,97,97,87,88,,,
classical-syriac,1,92,97,90,,,
friulian,86,84,92,89,,,
pashto,98,98,94,94,,,
breton,87,71,54,87,,,
czech,86,88.4,84.3,78.7,,,
catalan,70.9,84.4,55.9,56,,,
irish,85.2,89.7,84.7,79.6,,,
latvian,76.7,81.9,75.5,71,,,
livonian,90,79,80,78,,,
hindi,100,99.3,99.6,99.8,,,
bashkir,76.4,79.1,82,74.7,,,
estonian,87.3,85.3,75.6,80,,,
old-saxon,92,94.8,78.5,86.6,,,
slovene,94.8,92.8,90.6,91,,,
tatar,75,75,74,77,,,
swahili,46,56,48,68,,,
lithuanian,80.9,89.9,67.7,65.3,,,
latin,55.8,66.4,51.2,46.6,,,
galician,83.3,88.8,66.2,71.4,,,
hungarian,60,68.8,56.2,59.4,,,
welsh,99,97,85,83,,,
urdu,96.8,99.8,99.7,99.9,,,
slovak,96.7,86.2,92.8,90.8,,,
romanian,78.1,86.1,73.8,75,,,
uzbek,1,83,93,80,,,
old-armenian,73,83.5,75.6,74.1,,,
sanskrit,94.3,84.6,90.9,90.5,,,
votic,38,69,80,93,,,
turkish,75,87.8,75.6,76.5,,,
maltese,94,89,60,90,,,
georgian,78.6,80.9,73.7,67.2,,,
lower-sorbian,96.1,84.9,94.5,92.1,,,
zulu,73.8,72.7,56.7,49.2,,,
crimean-tatar,68,74,64,65,,,
icelandic,72.5,83.4,69.3,73,,,
old-church-slavonic,100,94,99,98,,,
italian,71.4,75.8,68.2,57.4,,,
greek,83.2,85.1,78,82.1,,,
norwegian-nynorsk,72.2,78.7,64,62.9,,,
old-french,60.8,83,0.1,51.4,,,
khaling,0.1,72.6,76.8,92.1,,,
portuguese,56.3,87,52.8,45.8,,,
occitan,85,85,70,82,,,
hebrew,0.1,86.8,89.3,87.2,,,
finnish,48.1,59,56.5,58.4,,,
navajo,76.3,83.9,69.5,73.9,,,
danish,69.4,83.2,73.3,68.3,,,
swedish,63.1,68.9,57.8,59.9,,,
norwegian-bokmaal,63.8,76.1,60.7,58.2,,,
belarusian,95.4,91.4,91.6,88.5,,,
armenian,72.7,81,72,70.2,,,
sorani,13.2,63.3,97.3,69.6,,,
spanish,63.4,82.1,53.7,58.9,,,
persian,99.7,98.1,97.1,99,,,
venetian,97.7,94.8,88.5,87,,,
neapolitan,56,86,77,72,,,
asturian,83.8,89.2,57.6,62.2,,,
kabardian,68,78,60,68,,,
northern-sami,59.9,77.7,65,57.4,,,
kurmanji,0.1,58.1,95,85.2,,,
arabic,71.1,84,65.5,56.1,,,
quechua,53.5,49,44.4,20.2,,,
faroese,76.3,83.4,68.1,71.8,,,
ukrainian,91,82.6,88.8,86.2,,,
west-frisian,99,97,100,89,,,
haida,94,73,1,28,,,
bengali,95,65,94,83,,,
basque,0.1,46.6,21.9,63.7,,,
adyghe,64.7,78.5,66.2,64,,,
ladin,96,97,93,88,,,
